,,,,2011,,,
Old ward code,New code,Ward name,Borough name,All aged 16-74 in work,Travel by bicycle,% travel by bicycle,Percentage point change
00APGC,E05000268,Bruce Grove,Haringey,"6,283",281,4.5,2.3
00APGD,E05000269,Crouch End,Haringey,"7,748",588,7.6,4
00APGE,E05000270,Fortis Green,Haringey,"6,623",335,5.1,2.6
00APGF,E05000271,Harringay,Haringey,"7,490",506,6.8,3.2
00APGG,E05000272,Highgate,Haringey,"6,948",412,5.9,3.5
00APGH,E05000273,Hornsey,Haringey,"6,864",477,6.9,3.3
00APGJ,E05000274,Muswell Hill,Haringey,"6,163",405,6.6,3.8
00APGK,E05000275,Noel Park,Haringey,"6,478",205,3.2,1.6
00APGL,E05000276,Northumberland Park,Haringey,"4,999",109,2.2,0.9
00APGM,E05000277,St Ann's,Haringey,"7,126",429,6,3.3
00APGN,E05000278,Seven Sisters,Haringey,"6,788",357,5.3,2.7
00APGP,E05000279,Stroud Green,Haringey,"7,083",641,9,4
00APGQ,E05000280,Tottenham Green,Haringey,"6,483",268,4.1,1.9
00APGR,E05000281,Tottenham Hale,Haringey,"5,908",138,2.3,0.5
00APGS,E05000282,West Green,Haringey,"6,084",255,4.2,2.5
00APGT,E05000283,White Hart Lane,Haringey,"4,798",104,2.2,0.8
00APGU,E05000284,Woodside,Haringey,"7,097",157,2.2,1.1
00AQFY,E05000285,Belmont,Harrow,"5,552",29,0.5,-0.1
00AQFZ,E05000286,Canons,Harrow,"5,888",31,0.5,0.1
00AQGA,E05000287,Edgware,Harrow,"5,567",22,0.4,-0.1
00AQGB,E05000288,Greenhill,Harrow,"6,566",58,0.9,0.2
00AQGC,E05000289,Harrow on the Hill,Harrow,"5,861",61,1,0.3
00AQGD,E05000290,Harrow Weald,Harrow,"5,196",29,0.6,-0.1
00AQGE,E05000291,Hatch End,Harrow,"5,070",31,0.6,0.1
00AQGF,E05000292,Headstone North,Harrow,"5,042",52,1,-0.1
00AQGG,E05000293,Headstone South,Harrow,"5,549",78,1.4,0.1
00AQGH,E05000294,Kenton East,Harrow,"5,366",13,0.2,-0.4
00AQGJ,E05000295,Kenton West,Harrow,"5,639",29,0.5,-0.5
00AQGK,E05000296,Marlborough,Harrow,"5,864",82,1.4,0.3
00AQGL,E05000297,Pinner,Harrow,"4,691",41,0.9,0.2
00AQGM,E05000298,Pinner South,Harrow,"5,057",46,0.9,0.4
00AQGN,E05000299,Queensbury,Harrow,"5,606",25,0.4,-0.3
00AQGP,E05000300,Rayners Lane,Harrow,"5,338",37,0.7,-0.3
00AQGQ,E05000301,Roxbourne,Harrow,"5,571",38,0.7,-0.8
00AQGR,E05000302,Roxeth,Harrow,"5,412",47,0.9,0.1
00AQGS,E05000303,Stanmore Park,Harrow,"4,994",43,0.9,-0.3
00AQGT,E05000304,Wealdstone,Harrow,"4,992",50,1,-0.3
00AQGU,E05000305,West Harrow,Harrow,"5,079",59,1.2,0.1
00ARGC,E05000306,Brooklands,Havering,"7,248",105,1.4,-0.3
00ARGD,E05000307,Cranham,Havering,"5,784",41,0.7,0.1
00ARGE,E05000308,Elm Park,Havering,"5,890",58,1,0.3
00ARGF,E05000309,Emerson Park,Havering,"5,831",34,0.6,0
00ARGG,E05000310,Gooshays,Havering,"6,015",48,0.8,-0.2
00ARGH,E05000311,Hacton,Havering,"6,084",49,0.8,0
00ARGJ,E05000312,Harold Wood,Havering,"6,133",52,0.8,0
00ARGK,E05000313,Havering Park,Havering,"5,819",38,0.7,0
00ARGL,E05000314,Heaton,Havering,"5,097",45,0.9,-0.1
00ARGM,E05000315,Hylands,Havering,"6,675",68,1,0.1
00ARGN,E05000316,Mawneys,Havering,"6,075",69,1.1,0.4
00ARGP,E05000317,Pettits,Havering,"6,246",54,0.9,0.2
00ARGQ,E05000318,Rainham and Wennington,Havering,"5,910",49,0.8,-0.2
00ARGR,E05000319,Romford Town,Havering,"8,263",85,1,0.1
00ARGS,E05000320,St Andrew's,Havering,"6,555",58,0.9,0.3
00ARGT,E05000321,South Hornchurch,Havering,"6,109",75,1.2,-0.2
