AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2001,73961,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A101,PA,535530,180600,LA Boundary,A13,1.1,0.68,38,860,28850,151,4919,203,0,0,0,0,0,203,34983
2001,74527,Counted,Dependent on a neighbouring counted link,London,Tower Hamlets,A12,PA,537300,183460,B142,B142,0.3,0.19,30,1667,84730,464,14604,2709,281,707,177,442,282,4598,106063
2001,74528,Counted,Manual count,London,Tower Hamlets,A12,PA,537000,184000,LA Boundary,B142,1,0.62,0,1861,64142,267,12559,2940,336,602,248,472,276,4874,83703
2001,74545,Counted,Manual count,London,Tower Hamlets,A1263,PA,538910,181040,A13,A1261,0.2,0.12,23,724,24872,331,5354,930,180,389,57,196,154,1906,33187
2001,74905,Counted,Manual count,London,Tower Hamlets,A11,PA,533850,181240,St Botolph St/Aldgate High St,A1202/A13 mid-junction,0.2,0.12,535,1570,18777,775,3098,606,53,53,38,44,18,812,25032
2001,75425,Counted,Dependent on a neighbouring counted link,London,Tower Hamlets,A13,PA,539100,181400,Aspen Way tunnel,LA boundary,0.2,0.12,192,3161,59446,720,13653,2098,313,966,155,393,311,4236,81216
2001,75426,Estimated,Estimated from nearby links,London,Tower Hamlets,A1261,PA,538930,181200,Aspen Way,A13,0.5,0.31,64,1152,28745,382,5938,873,214,321,62,142,142,1754,37971
2001,75427,Estimated,Estimated from nearby links,London,Tower Hamlets,A1261,PA,538850,180950,Aspen Way tunnel,A1263,0.2,0.12,64,1152,28745,382,5938,873,214,321,62,142,142,1754,37971
2002,6071,Counted,Manual count,London,Tower Hamlets,A12,PA,538180,181800,A13,A11,2.1,1.3,50,1379,63412,455,10690,2125,450,769,342,364,497,4547,80483
2002,6201,Counted,Manual count,London,Tower Hamlets,A11,PA,537000,182730,A1205,A12,1.5,0.93,453,1574,41270,618,5432,1012,121,164,21,29,45,1392,50286
